Number,Team,Score,Points,W,L,Pct,SoS,Weighted,Conf,Div,AvgMoV,YF,YA,TO Margin,YPPO,YPPD
53,Nebraska,26.5137,0.6999,1,1,0.5000,0.5000,0.5556,Big 10,West,18.5,512.5,309.5,-0.5,6.1747,4.9919
54,Louisiana State,26.0930,0.6888,0,1,0.0000,1.0000,0.7778,SEC,West,-11,379,483,0,5.3380,8.1864
55,Stanford,25.9466,0.6849,0,1,0.0000,1.0000,0.6667,Pac-12,North,-17,233,344,1,4.4808,7.6444
56,Charlotte,25.9391,0.6847,1,0,1.0000,0.0000,0.3333,CUSA,East,3,478,580,-2,6.8286,7.9452
57,West Virginia,25.7967,0.6809,0,1,0.0000,1.0000,0.6667,Big 12, ,-6,325,496,4,5.3279,6.2000
58,Syracuse,25.4410,0.6716,1,0,1.0000,0.0000,0.3333,ACC,Atlantic,20,385,346,-1,6.4167,5.4921
59,Wisconsin,25.3226,0.6684,0,1,0.0000,1.0000,0.6667,Big 10,West,-6,359,297,3,3.7789,5.8235
60,Utah State,25.2826,0.6674,1,0,1.0000,0.0000,0.3333,MWC,Mountain,3,441,360,1,5.3780,5.9016
61,Illinois,25.2509,0.6665,1,1,0.5000,0.6667,0.6111,Big 10,West,0.5,369,444.5,0,5.0897,5.8105
62,Kent State,24.8206,0.6552,0,1,0.0000,1.0000,0.6667,MAC,East,-31,336,597,-3,4.4800,7.9600
63,Georgia State,24.6275,0.6501,0,1,0.0000,1.0000,0.6667,Sun Belt,East,-33,177,356,2,3.6875,5.0141
64,Louisiana Tech,24.3332,0.6423,0,1,0.0000,1.0000,0.6667,CUSA,West,-1,369,435,-2,5.9516,6.5909
65,Western Michigan,24.2933,0.6413,0,1,0.0000,1.0000,0.6667,MAC,West,-33,310,551,0,4.4928,9.1833
66,Tulane,23.9781,0.6329,0,1,0.0000,1.0000,0.6667,AAC,West,-5,464,436,1,7.3651,6.0556
67,Fresno State,23.8692,0.6301,1,1,0.5000,0.3333,0.3889,MWC,West,19,457,232.5,1,6.2177,3.4701
68,Florida Atlantic,23.7212,0.6262,0,1,0.0000,1.0000,0.6667,CUSA,East,-21,353,553,0,5.0429,6.8272
69,Northern Illinois,23.5971,0.6229,1,0,1.0000,0.0000,0.3333,MAC,West,1,301,429,0,5.1017,5.5000
70,Central Michigan,23.2294,0.6132,0,1,0.0000,1.0000,0.6667,MAC,West,-10,475,468,2,5.5233,6.8824
71,Houston,22.8704,0.6037,0,1,0.0000,1.0000,0.6667,AAC,West,-17,251,376,3,3.4384,7.2308
72,Florida State,22.3878,0.5910,0,1,0.0000,1.0000,0.6667,ACC,Atlantic,-3,442,431,2,5.9730,6.1571
73,Ohio U.,22.3384,0.5897,0,1,0.0000,1.0000,0.6667,MAC,East,-20,346,385,1,5.4921,6.4167
74,Minnesota,22.2990,0.5886,0,1,0.0000,1.0000,0.6667,Big 10,West,-14,408,495,1,5.4400,10.3125
